,Unnamed: 0,imdb_id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,tags,youtube_id,split
1200,1903,tt0116743,movie,Kama Sutra: A Tale of Love,Kama Sutra: A Tale of Love,0,1996,\N,117,"Crime,Drama,History","insanity, cruelty, melodrama",2c0JTj9sl_Y,test
1201,1905,tt0116771,movie,Killers,Killers,0,1997,\N,83,"Action,Horror,Thriller","violence, murder",Trei2_ES__I,val
1202,1906,tt0116778,movie,Kingpin,Kingpin,0,1996,\N,114,"Comedy,Sport","cult, comedy, humor",6LEuhBT4TUg,train
1203,1907,tt0116823,movie,Larger Than Life,Larger Than Life,0,1996,\N,93,"Comedy,Family",comedy,I4xX5vuxOaY,train
1204,1908,tt0116830,movie,Last Man Standing,Last Man Standing,0,1996,\N,101,"Action,Crime,Drama","neo noir, murder, violence, good versus evil, action, romantic, revenge",w9SbLAmM9ok,test
1205,1909,tt0116839,movie,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace,0,1996,\N,93,"Action,Sci-Fi,Thriller","psychedelic, gothic, sci-fi",MubmJ2jwvOM,test
1206,1910,tt0116861,video,Leprechaun 4: In Space,Leprechaun 4: In Space,0,1996,\N,95,"Comedy,Fantasy,Horror",cult,biZ_dM_Becc,train
1207,1911,tt0116905,movie,Lone Star,Lone Star,0,1996,\N,135,"Drama,Mystery,Western","mystery, alternate history, murder, flashback",fhd8AHbp2c4,train
1208,1912,tt0116922,movie,Lost Highway,Lost Highway,0,1997,\N,134,"Mystery,Thriller","dark, avant garde, neo noir, murder, mystery, boring, cult, violence, atmospheric, clever, insanity, psychedelic",DMWMCbQxEsE,train
1209,1914,tt0116996,movie,Mars Attacks!,Mars Attacks!,0,1996,\N,106,"Comedy,Sci-Fi","comedy, stupid, cult, psychedelic, satire, entertaining",UrU5ADBpl4w,train
1210,1915,tt0117002,movie,Mary Reilly,Mary Reilly,0,1996,\N,108,"Drama,Horror,Romance","good versus evil, melodrama, gothic, murder, flashback",qgHHBYzgL-s,test
1211,1916,tt0117008,movie,Matilda,Matilda,0,1996,\N,98,"Comedy,Family,Fantasy","comedy, fantasy, cruelty, paranormal, dramatic, cute, cult, clever",pnzLRDDijW0,val
1212,1918,tt0117039,movie,Michael Collins,Michael Collins,0,1996,\N,133,"Biography,Drama,Thriller","revenge, historical, murder, violence, romantic",F1pkbe29910,test
1213,1919,tt0117060,movie,Mission: Impossible,Mission: Impossible,0,1996,\N,110,"Action,Adventure,Thriller","suspenseful, mystery, action, murder, flashback",vadCbBuUM0E,val
1214,1921,tt0117104,movie,Mrs. Winterbourne,Mrs. Winterbourne,0,1996,\N,105,"Comedy,Drama,Romance",romantic,hFHYI9wndWU,train
1215,1922,tt0117107,movie,Mulholland Falls,Mulholland Falls,0,1996,\N,107,"Crime,Drama,Mystery","cult, neo noir, murder",#NAME?,test
1216,1923,tt0117108,movie,Multiplicity,Multiplicity,0,1996,\N,117,"Comedy,Romance,Sci-Fi",stupid,hvyj77D8RQY,train
1217,1924,tt0117110,movie,Muppet Treasure Island,Muppet Treasure Island,0,1996,\N,99,"Action,Adventure,Comedy",action,KLUdKoCganU,train
1218,1926,tt0117128,movie,Mystery Science Theater 3000: The Movie,Mystery Science Theater 3000: The Movie,0,1996,\N,73,"Comedy,Drama,Fantasy","cult, comedy, humor",Gc2KS2s07J8,test
1219,1927,tt0117202,movie,Normal Life,Normal Life,0,1996,\N,101,"Crime,Drama",romantic,eZB90dRD79w,train
1220,1932,tt0117333,movie,Phenomenon,Phenomenon,0,1996,\N,123,"Drama,Fantasy,Romance","tragedy, thought-provoking, romantic, psychological",H3woaPZowmM,test
1221,1934,tt0117381,movie,Primal Fear,Primal Fear,0,1996,\N,129,"Crime,Drama,Mystery","suspenseful, psychological, murder, mystery, dramatic, violence, thought-provoking, atmospheric, plot twist, revenge",PnmTi7hSjrA,test
1222,1935,tt0117438,movie,Ransom,Ransom,0,1996,\N,121,"Action,Crime,Thriller","mystery, neo noir, murder, violence, revenge, action, suspenseful",mebIhXK8srA,val
1223,1938,tt0117561,movie,Schizopolis,Schizopolis,0,1996,\N,96,"Comedy,Fantasy,Mystery","comedy, mystery, cult, flashback, psychedelic, absurd, satire, philosophical",f2E7ArARdaE,train
1224,1939,tt0117571,movie,Scream,Scream,0,1996,\N,111,"Horror,Mystery","comedy, mystery, murder, stupid, cult, revenge, violence, horror, plot twist, satire, suspenseful, entertaining, prank",iU9IIdD-EWk,test
1225,1940,tt0117603,movie,Set It Off,Set It Off,0,1996,\N,123,"Action,Crime,Drama","comedy, neo noir, murder, violence, tragedy, revenge",bKB2KclDMTY,val
1226,1941,tt0117608,movie,Sgt. Bilko,Sgt. Bilko,0,1996,\N,93,Comedy,revenge,lnymWvGgVUw,val
1227,1942,tt0117628,movie,She's the One,She's the One,0,1996,\N,96,"Comedy,Drama,Romance",romantic,mIvoJ2_8X5I,train
1228,1943,tt0117631,movie,Shine,Shine,0,1996,\N,105,"Biography,Drama,Music","tragedy, insanity, romantic, sentimental",vTt4Ar6pzO4,train
1229,1944,tt0117665,movie,Sleepers,Sleepers,0,1996,\N,147,"Crime,Drama,Thriller","cruelty, murder, neo noir, sentimental, thought-provoking, sadist, violence, flashback, revenge, storytelling, prank",rNaMAgf4ErE,train
1230,1945,tt0117666,movie,Sling Blade,Sling Blade,0,1996,\N,135,Drama,"neo noir, murder, cult, humor, tragedy, revenge",#NAME?,train
1231,1946,tt0117705,movie,Space Jam,Space Jam,0,1996,\N,88,"Adventure,Animation,Comedy","cult, psychedelic",9W8RnzVIGP4,val
1232,1947,tt0117723,movie,Spy Hard,Spy Hard,0,1996,\N,81,"Action,Comedy","cult, comic, violence, flashback",3ywC-QrUC3s,val
1233,1948,tt0117731,movie,Star Trek: First Contact,Star Trek: First Contact,0,1996,\N,111,"Action,Adventure,Drama","good versus evil, revenge, cult, alternate history, flashback",QXueFFBZ2Eg,train
1234,1949,tt0117765,movie,Striptease,Striptease,0,1996,\N,115,"Comedy,Crime,Drama","comedy, neo noir, murder, stupid, cult, flashback, satire",rjC_zgacV7M,train
1235,1950,tt0117802,movie,Swingers,Swingers,0,1996,\N,96,"Comedy,Drama","comedy, neo noir, cult, romantic, entertaining, storytelling",sfHZvxg87h8,train
1236,1953,tt0117887,movie,That Thing You Do!,That Thing You Do!,0,1996,\N,108,"Comedy,Drama,Music",satire,Vs_h7YdIe_k,test
